method_id,python_class,phase_status,api_surface,contract_evidence,catalog_status,next_gate,notes
aom_pop.structural_policy,AOMStructuralPolicy,python_reference_contract_tested,n4m and n4m.sklearn,test_structural_policy_routes_by_feature_count_only;test_structural_policy_metadata_does_not_change_route_or_predictions,pre_abi_do_not_add_to_catalog,native ABI route/predict/report surface,Source-free feature-count route.
aom_pop.structural_policy_pgt1200_admissions,AOMStructuralPolicyWithPgt1200Admissions,python_reference_contract_tested,n4m and n4m.sklearn,test_structural_policy_presets_are_source_free,pre_abi_do_not_add_to_catalog,native ABI route/predict/report surface,High-p admission preset remains feature/property based.
aom_pop.structural_policy_p700_protocol_unified,AOMStructuralPolicyWithP700ProtocolUnified,python_reference_contract_tested,n4m and n4m.sklearn,test_structural_policy_presets_are_source_free,pre_abi_do_not_add_to_catalog,native ABI route/predict/report surface,Source-free p<=700 protocol preset.
aom_pop.structural_policy_p700_block_local,AOMStructuralPolicyWithP700BlockLocalAdmission,python_reference_contract_tested,n4m and n4m.sklearn,test_structural_policy_presets_are_source_free;test_legacy_beer_admission_name_is_not_exported,pre_abi_do_not_add_to_catalog,native ABI route/predict/report surface,Source-free replacement for the legacy Beer-named route.
aom_pop.endpoint_margin_stability_gate,AOMEndpointMarginStabilityGate,python_reference_contract_tested,n4m and n4m.sklearn,test_endpoint_margin_stability_gate_accepts_stable_endpoint;test_endpoint_margin_stability_gate_falls_back_to_stack_when_margin_fails,pre_abi_do_not_add_to_catalog,native ABI CV/OOF decision report surface,Train-only contiguous/shuffled agreement gate.
aom_pop.midp_endpoint_stack,AOMMidPEndpointStack,python_reference_contract_tested,n4m and n4m.sklearn,test_midp_endpoint_stack_learns_pairwise_oof_convex_blend,pre_abi_do_not_add_to_catalog,native ABI OOF stack/report/predict surface,Train-OOF pairwise convex endpoint stack.
aom_pop.control_selector,AOMControlSelector,python_reference_contract_tested,n4m and n4m.sklearn,test_control_selector_selects_best_chain_with_train_cv_ridge;test_control_selector_chain_subset_and_rank_mean_ensemble,pre_abi_do_not_add_to_catalog,native ABI selected-chain/report/predict surface,Dependency-light fold-local Ridge control selector.
aom_pop.preprocessing_chain,AOMPreprocessingChain,python_reference_contract_tested,n4m and n4m.sklearn,test_aom_control_chain_bank_profiles_cover_lab_preprocessings,pre_abi_do_not_add_to_catalog,native ABI preprocessing-chain fit/transform/report surface,Fold-safe sequential chain utility for generated AOM banks.
aom_pop.robust_hpo_regressor,AOMRobustHPORegressor,python_reference_contract_tested,n4m and n4m.sklearn,test_aom_robust_hpo_regressor_is_source_free_and_predicts;test_control_selector_supports_pls_head,pre_abi_do_not_add_to_catalog,native ABI robust-HPO fit/predict/report surface,Configurable source-free AOM robust-HPO regressor with Ridge and PLS heads.
aom_pop.robust_hpo_compact,AOMRobustHPOCompact,python_reference_contract_tested,n4m and n4m.sklearn,test_aom_robust_hpo_presets_are_exported_and_source_free,pre_abi_do_not_add_to_catalog,native ABI robust-HPO fit/predict/report surface,Fast compact end-user preset.
aom_pop.robust_hpo_wide,AOMRobustHPOWide,python_reference_contract_tested,n4m and n4m.sklearn,test_aom_robust_hpo_presets_are_exported_and_source_free,pre_abi_do_not_add_to_catalog,native ABI robust-HPO fit/predict/report surface,Wide lab-style preset kept as diagnostic until benchmarked.
aom_pop.truebank_endpoint_portfolio,AOMTrueBankEndpointPortfolio,python_reference_contract_tested,n4m and n4m.sklearn,test_truebank_endpoint_portfolio_selects_cv_best_without_metadata_route,pre_abi_do_not_add_to_catalog,native ABI endpoint portfolio/report/predict surface,Guarded train-CV true-bank endpoint selector.
aom_pop.fallback_blend_gate,AOMFallbackBlendGate,python_reference_contract_tested,n4m and n4m.sklearn,test_fallback_blend_gate_accepts_oof_gain_without_metadata_route;test_fallback_blend_gate_keeps_base_when_candidate_is_not_better,pre_abi_do_not_add_to_catalog,native ABI OOF blend gate/report/predict surface,Optional conservative train-OOF fallback blend.
aom_pop.ridge_blender,AOMRidgeBlender,native_strict_subset_and_python_reference_tested,n4m.aom_ridge_blender plus n4m.sklearn,native aom_ridge_blender contract tests;python reference metadata/fold tests,catalogued_native_subset,done for strict-linear Ridge OOF blend; custom estimator blend remains Python reference,Fold-safe OOF simplex blend now has native compact/wide strict-linear surface.
aom_pop.operator_pls_stack,AOMOperatorPLSStack,native_strict_subset_and_python_reference_tested,n4m.aom_operator_pls_stack plus n4m.sklearn,native operator_pls_stack contract tests;python reference metadata/baseline tests,catalogued_native_subset,done for strict-linear single-target PLS1 score stack; custom operator/gated modes remain Python reference,Diagnostic guarded fixed-operator PLS score stack now has native compact/wide strict-linear surface.
